"","GSM2550529_10SE2524.CEL.gz","GSM2550530_10SE2525.CEL.gz","GSM2550531_10SE2526.CEL.gz","GSM2550532_10SE2527.CEL.gz","GSM2550533_10SE2528.CEL.gz","GSM2550534_10SE2529.CEL.gz"
"Les.1644.1.A1_at",8.76767416740724,8.72227944393866,8.71726966221442,8.41400939193861,8.43287313430894,8.63074407743886
"Les.1645.1.A1_at",4.25997723039857,3.83615382808597,4.30066988233232,4.32038124078305,4.18205213851974,4.16349389663072
"Les.1647.1.A1_at",10.1058342602682,10.0134077852295,10.002972375419,10.3392465700761,10.3169907950024,10.2958354588633
"Les.165.1.S1_at",12.4376150376396,12.6454365805177,12.6124700207968,12.9444648137481,12.9218693418601,12.8683976865438
"Les.165.2.S1_at",11.6862167781837,11.9367200966031,11.92152003818,12.2171401885961,12.194182958066,12.1441965651459
"Les.1650.1.A1_at",5.22467199374823,4.98991781194345,4.87682657627674,5.27648222575145,5.37189519140992,5.18051860876404
"Les.1651.1.A1_at",4.35736116274322,4.42978299765832,4.47037676209895,4.4079763320647,4.4152325164762,4.39342585088259
"Les.1652.1.S1_at",11.7562607621888,11.5047645260014,11.5162829282184,11.5301061381052,11.3113501183216,11.664210767424
"Les.1653.1.A1_at",11.6268675851959,11.5966976313538,11.6037988970044,11.5411084029054,11.478554936555,11.5933873814257
"Les.1654.1.A1_at",9.99974195197863,9.16772786111204,10.2555320121006,9.71366029229041,9.61145804685472,9.70264856070797
"Les.1655.1.A1_at",7.11964024006247,7.0300680491612,7.00468882177935,6.49217748601906,6.95962980273572,6.7573308283881
"Les.1657.1.A1_at",7.25371231166432,6.83274397705641,6.965816666925,6.86088116504592,6.8336316215332,6.86585149318885
"Les.1658.1.A1_at",4.28942637434238,4.38187204295204,4.62026399591506,3.99265623514529,4.44245632051565,4.09932911056289
"Les.1659.1.A1_at",4.61655786164555,4.6436642377468,4.56309047251356,5.1635287316167,4.96268315378047,4.82873634757498
"Les.1660.1.A1_at",3.99009250730573,4.19940314436479,4.20791397689209,4.08790084882338,4.16844036345207,4.25992587283956
